Kod SZS,Rodzaj stacji,rząd stacji,typ stacji,rok założenia,rok likwidacji,nazwa stacji,długość geograficzna,szerokość geograficzna,informacje dodatkowe
250209980,O,V,Zlikwidowana,1946,1991,WOLA BATORSKA,2019,5003, 
251229992,O,V,Zlikwidowana,1949,1992,WOLA CHOMEJOWA,222700,514700, 
249219994,O,V,Zlikwidowana,1952,1990,WOLA KOMBORSKA,2154,4944, 
250219980,O,V,Zlikwidowana,1947,1992,WOLA MIELECKA,2123,5017, 
251220050,O,V,Zlikwidowana,1948,2015,WOLA OKRZEJSKA,220853,514416,stację zlikwidowano 1.01.2015
250219989,O,V,Zlikwidowana,1949,1992,WOLA WADOWSKA,211200,501600, 
250190240,O,V,Czynna,1945,0,WOLBROM,194504,502303,15.11.2016 przeniesiono lokalnie 13 m w kierunku NW
253140010,O,V,Czynna,1946,0,WOLIN,143657,535015, 
254189997,O,V,Zlikwidowana,1949,1992,WOLNY DWÓR,182600,540500, 
252169995,O,V,Zlikwidowana,1954,1995,WOLSZTYN,160700,520700, 
252210120,O,V,Zlikwidowana,1955,2015,WOŁOMIN,211422,522134,stację zlikwidowano 1.01.2015
249220340,K,IV,Czynna,2005,0,WOŁOSATE,224109,490351,ATSM bez obserwatora
254229998,O,V,Zlikwidowana,1990,1992,WOŁOWNIA-JELENIEWO,2255,5412, 
251169994,O,V,Zlikwidowana,1948,1992,WOŁÓW,1639,5120, 
250199977,O,V,Zlikwidowana,1955,1992,WOŹNIKI,1904,5035, 
251200070,O,V,Czynna,1961,0,WÓLKA JAGIELCZYŃSKA,201103,514043, 
252220180,O,V,Zlikwidowana,1949,2015,WÓLKA KAMIENNA,223106,520408,stację zlikwidowano 1.01.2015
250239998,O,V,Zlikwidowana,1949,1994,WÓLKA NIELISKA,230600,504800, 
253209991,K,IV,Zlikwidowana,1975,1992,WROCIKOWO,2041,5350, 
351160424,S,I,Czynna,1945,0,WROCŁAW,165400,510612,LSM
251179997,O,V,Zlikwidowana,1951,1979,WROCŁAW-BISKUPIN,1706,5106, 
251170280,O,V,Zlikwidowana,1951,2015,WROCŁAW-OGRÓD BOTANICZNY,170245,510658,stację zlikwidowano 1.01.2015
251169970,O,V,Zlikwidowana,1955,1981,WROCŁAW-OPORÓW,1658,5105, 
251179980,O,V,Zlikwidowana,1948,1981,WROCŁAW-PSIE POLE,1707,5109, 
251160260,O,V,Zlikwidowana,1952,2015,WROCŁAW-STABŁOWICE,165257,510847,stację zlikwidowano 1.01.2015
251160340,O,V,Czynna,2014,0,WROCŁAW-STRACHOWICE,165254,510649, 
251179981,O,V,Zlikwidowana,1956,1972,WROCŁAW-TARNOGAJ,1704,5104, 
252160070,O,V,Czynna,1946,0,WRONKI,162256,524206, 
249200990,O,V,Czynna,2012,0,WRONOWICE,203526,494411,ATSO bez obserwatora
252209988,O,V,Zlikwidowana,1949,1992,WRÓBLEWO,202000,523400, 
252170180,O,V,Czynna,1946,0,WRZEŚNIA,173533,521854,ATSO bez obserwatora
252220110,O,V,Zlikwidowana,1949,2015,WRZOSKI,220626,522923,stację zlikwidowano 1.01.2015
254149999,O,V,Zlikwidowana,1946,1992,WRZOSOWO,1449,5401, 
251169971,O,V,Zlikwidowana,1955,1981,WSCHOWA,1619,5148, 
253170070,O,V,Czynna,1975,0,WYCZECHY,170215,534125, 
253179997,O,III,Zlikwidowana,1974,1995,WYCZECHY,1702,5341, 
251160130,O,V,Zlikwidowana,1949,2015,WYDAWY,165651,513326,stację zlikwidowano 1.01.2015
250200070,O,V,Zlikwidowana,1983,2015,WYMYSŁÓW,200538,504953,stację zlikwidowano 1.01.2015
253170220,O,V,Czynna,1950,0,WYRZYSK,171448,530931,w 05.2013 przeniesiona ok. 250m na NE (stare wsp. 171443 i 530927);
253170190,O,V,Czynna,1948,0,WYSOKA,170436,531052, 
252159992,O,V,Zlikwidowana,1975,1992,WYSOKA,150200,524700, 
249209984,O,V,Zlikwidowana,1945,1995,WYSOKIE,203400,493900, 
250220030,K,IV,Czynna,1946,0,WYSOKIE,224001,505504,ATSM bez obserwatora
249210230,K,IV,Czynna,1951,0,WYSOWA,211021,492617, 
250140010,O,V,Zlikwidowana,1973,2015,WYSZKÓW,145935,505803,stację zlikwidowano 31.12.2014
